,Title,Author,Poem
0,১৯৪১ সাল,সুকান্ত ভট্টাচার্য,"নীল সমুদ্রের ইশারা অন্ধকারে ক্ষীণ আলোর ছোট ছোট দ্বীপ,আর সূর্যময় দিনের স্তব্ধতা;নিঃশব্দ দিনের সেই ভীরু অন্তঃশীলমত্ততাময় পদক্ষেপঃএ সবের ম্লান আধিপত্য বুঝি আরজীবনের ওপর কালের ব্যবচ্ছেদ ভ্রষ্ট নয়তাই রক্তাক্ত পৃথিবীর ডাকঘর থেকেডাক এল সভ্যতার ডাকনিষ্ঠুর ক্ষুদার্ত পরোয়ানাআমাকে চিহ্নিত ক'রে গেল।আমার একক পৃথিবীভেসে গেল জনতার প্রবল জোয়ারে।মনের স্বচ্ছতার ওপর বিরক্তির শ্যাওলাগভীরতা রচনা করে,আর শঙ্কিত মনের অস্পষ্টতাইতস্ততঃ ধাবমান।নির্ধারিত জীবনেও মাটির মাশুলপূর্ণতায় মূর্তি চায়;আমার নিষ্ফল প্রতিবাদ,আরো অনেকের বিরুদ্ধে বিবক্ষাতাই পরাহত হল।কোথায় সেই দূর সমুদ্রের ইশারাআর অন্ধকারের নির্বিরোধ ডাক!দিনের মুখে মৃত্যুর মুখোস।যে সব মুহূর্ত পরমাণুগেঁথেছিল অস্থায়ী রচনা,সে সব মুহূর্ত আজপ্রাণের অস্পষ্ট প্রশাখায়অজ্ঞাত রক্তিম ফুল ফোটে।।"
1,১লা মে র কবিতা,সুকান্ত ভট্টাচার্য,"লাল আগুন ছড়িয়ে পড়েছে দিগন্ত থেকে দিগন্তে,কী হবে আর কুকুরের মতো বেঁচে থাকায়?কতদিন তুষ্ট থাকবে আরঅপরের ফেলে দেওয়া উচ্ছিষ্ট হাড়ে?মনের কথা ব্যক্ত করবেক্ষীণ অস্পষ্ট কেঁউ কেঁউ শব্দে?ক্ষুদিত পেটে ধুঁকে ধুঁকে চলবে কতদিন?ঝুলে পড়া তোমার জিভ,শ্বাসে প্রশ্বাসে ক্লান্তি টেনে কাঁপতে থাকবে কত কাল?মাথায় মৃদু চাপড় আর পিঠে হাতের স্পর্শেকতক্ষণ ভুলে থাকবে পেটের ক্ষুদা আর গলার শিকলকে?কতক্ষণ নাড়তে থাকবে লেজ?তার চেয়ে পোষমানাকে অস্বীকার করো,অস্বীকার করো বশ্যতাকে।চলো, শুকনো হাড়ের বদলেসন্ধান করি তাজা রক্তের,তৈরী হোক লাল আগুনে ঝলসানো আমাদের খাদ্য।শিকলের দাগ ঢেকে দিয়ে গজিয়ে উঠুকসিংহের কেশর প্রত্যেকের ঘাড়ে।।"
2,অতি কিশোরের ছড়া,সুকান্ত ভট্টাচার্য,"তোমরা আমায় নিন্দে ক’রে দাও না যতই গালি,আমি কিন্তু মাখছি আমার গালেতে চুনকালি,কোনো কাজটাই পারি নাকো বলতে পারি ছড়া,পাশের পড়া পড়ি না ছাই পড়ি ফেলের পড়া।তোতো ওষুধ গিলি নাকো, মিষ্টি এবং টকখাওয়ার দিকেই জেনো আমার চিরকালের সখ।বাবা দাদা সবার কাছেই গোঁয়ার এবং মন্দ,ভাল হয়ে থাকার সঙ্গে লেগেই আছে দ্বন্দ্ব ।পড়তে ব’সে থাকে আমার পথের দিকে চোখ,পথের চেয়ে পথের লোকের দিকেই বেশী ঝোঁক।হুলের কেয়ার করি নাকো মধুর জন্য ছুটি,যেখানে ভিড় সেখানেতেই লাগাই ছুটোছুটি।পণ্ডিত এবং বিজ্ঞজনের দেখলে মাথা নাড়া,ভাবি উপদেশের ষাঁড়ে করলে বুঝি তারা।তাইতো ফিরি ভয়ে ভয়ে, দেখলে পরে তর্ক,বুঝি কেবল গোময় সেটা, নয়কো মধুপর্ক।ভুল করি ভাই যখন তখন, শোধরাবার আহ্লাদেখেয়ালমতো কাজ করে যাই, কস্ট পাই কি সাধে ?সোজাসুজি যা হয় বুঝি, হায় অদৃস্ট চক্র!আমার কথা বোঝে না কেউ পৃথিবীটাই বক্র।। (মিঠে কড়া কাব্যগ্রন্থ)"
3,অদ্বৈধ,সুকান্ত ভট্টাচার্য,"নরম ঘুমের ঘোর ভাঙল?দেখ চেয়ে অরাজক রাজ্য;ধ্বংস সমুখে কাঁপে নিত্যএখনো বিপদ অগ্রাহ্য?পৃথিবী, এ পুরাতন পৃথিবীদেখ আজ অবশেষে নিঃস্বস্বপ্ন অলস যত ছায়ারাএকে একে সকলি অদৃশ্য। রুক্ষ মরুর দুঃস্বপ্নহৃদয় আজকে শ্বাসরুদ্ধ,একলা গহন পথে চলতেজীবন সহসা বিক্ষুব্ধ। জীবন ললিত নয় আজকেঘুচেছে সকল নিরাপত্তা,বিফল স্রোতের পিছুটানকেশরণ করেছে ভীরু সত্তা। তবু আজ রক্তের নিদ্রা,তবু ভীরু স্বপ্নের সখ্য;সহসা চমক লাগে চিত্তেদুর্জয় হল প্রতিপক্ষ! নিরুপায় ছিঁড়ে গেল দ্বৈদনির্জনে মুখ তোলে অঙ্কুর,বুঝে নিল উদ্যোগী আত্মাজীবন আজকে ক্ষণভঙ্গুর। দলিত হৃদয় দেখে স্বপ্ননতুন, নতুনতর বিশ্ব,তাই আজ স্বপ্নের ছায়ারাএকে একে সকলি অদৃশ্য।। (কাব্যগ্রন্থঃ ঘুমনেই)"
4,অনন্যোপায়,সুকান্ত ভট্টাচার্য,"অনেক গড়ার চেষ্টা ব্যর্থ হল, ব্যর্থ বহু উদ্যম আমার,নদীতে জেলেরা ব্যর্থ, তাঁতী ঘরে, নিঃশব্দ কামার,অর্ধেক প্রাসাদ তৈরী, বন্ধ ছাদ পেটানোর গান,চাষীর লাঙল ব্যর্থ, মাঠে নেই পরিপূর্ণ ধান।যতবার গড়ে তুলি, ততবার চকিত বন্যায়।উদ্যত সৃষ্টিকে ভাঙে পৃথিবীতে অবাধ অন্যায়।বার বার ব্যর্থ, তাই আজ মনে এসেছে বিদ্রোহ,নির্বিঘ্নে গড়ার স্বপ্ন ভেঙে গেছে; ছিন্নভিন্ন মোহ।আজকে ভাঙার স্বপ্ন অন্যায়ের দম্ভকে ভাঙার,বিপদ ধ্বংসেই মুক্তি, অন্য পথ দেখি নাকো আর।তাইতো তন্দ্রাকে ভাঙি, ভাঙি জীর্ণ সংস্কারের খিল,রুদ্ধ বন্দীকক্ষ ভেঙে মেলে দিই আকাশের নীল।নির্বিঘ্নে সৃষ্টিকে চাও? তবে ভাঙো বিঘ্নের বেদীকে,উদ্দাম ভাঙার অস্ত্র ছুঁড়ে দাও চারিদিকে।। (কাব্যগ্রন্থঃ ঘুমনেই)"
5,অনুভব,সুকান্ত ভট্টাচার্য,"১৯৪০অবাক পৃথিবী! অবাক করলে তুমিজন্মেই দেখি ক্ষুব্ধ স্বদেশভূমি।অবাক পৃথিবী! আমরা যে পরাধীন।অবাক, কী দ্রুত জমে ক্রোধ দিন দিন;অবাক পৃথিবী! অবাক করলে আরো দেখি এই দেশে অন্ন নেইকো কারো।অবাক পৃথিবী! অবাক যে বারবারদেখি এই দেশে মৃত্যুরই কারবার।হিসেবের খাতা যখনি নিয়েছি হাতেদেখেছি লিখিত 'রক্ত খরচ' তাতে।এদেশে জন্মে পদাঘাতই শুধু পেলাম,অবাক পৃথিবী! সেলাম, তোমাকে সেলাম! ১৯৪৬বিদ্রোহ আজ বিদ্রোহ চারিদিকে,আমি যাই তারি দিন পঞ্জিকা লিখে,এত বিদ্রোহ কখনো দেখে নি কেউ,দিকে দিকে ওঠে অবাদ্যতার ঢেউ;স্বপ্ন চূড়ার থেকে নেমে এসো সবশুনেছ? শুনছ উদ্দাম কলরব?নয়া ইতিহাস লিখছে ধর্মঘট;রক্তে রক্তে আঁকা প্রচ্ছদপট।প্রত্যহ যারা ঘৃণিত ও পদানত,দেখ আজ তারা সবেগে সমুদ্যত;তাদেরই দলের পেছনে আমিও আছি,তাদেরই মধ্যে আমিও যে মরি বাঁচি।তাইতো চলেছি দিন পঞ্জিকা লিখেবিদ্রোহ আজ! বিপ্লব চারিদিকে।।"
6,অবৈধ,সুকান্ত ভট্টাচার্য,"আজ মনে হয় বসন্ত আমার জীবনে এসেছিলউত্তর মহাসাগরের কূলেআমার স্বপ্নের ফুলেতারা কথা কয়েছিলঅস্পষ্ট পুরনো ভাষায় অস্ফুট স্বপ্নের ফুলঅসহ্য সূর্যের তাপেঅনিবার্য ঝরেছিল মরেছিল নিষ্ঠুর প্রগল্‌ভ হতাশায়। হঠাৎ চমকে ওঠে হাওয়াসেদিন আর নেই নেই আর সূর্য বিকিরণআমার জীবনে তাই ব্যর্থ হল বাসন্তীমরণ!শুনি নি স্বপ্নের ডাকঃথেকেছি আশ্চর্য নির্বাকবিন্যস্ত করেছি প্রাণ বুভুক্ষার হাতে।সহসা একদিনআমার দরজায় নেমে এলনিঃশব্দে উড়ন্ত গৃধিনীরা।সেইদিন বসন্তের পাখিউড়ে গেলযেখানে দিগন্ত ঘনায়িত । আজ মনে হয়হেমন্তের পড়ন্ত রোদ্দুরে,কী ক'রে সম্ভব হলআমার রক্তকে ভালবাসা!সূর্যের কুয়াশাএখনো কাটে নিঘোচে নি অকাল দুর্ভাবনা।মুহূর্তের সোনাএখনো সভয়ে ক্ষয় হয়,এরই মদ্যে হেমন্তের পড়ন্ত রোদ্দুরকঠিন কাস্তেতে দেয় সুর,অন্যমনে এ কী দুর্ঘটনা হেমন্তেই বসন্তের প্রস্তাব রটনা।।"
7,অভিবাদন,সুকান্ত ভট্টাচার্য,"হে সাথী, আজকে স্বপ্নের দিন গোনাব্যর্থ নয় তো, বিপুল সম্ভাবনাদিকে দিকে উদ্‌যাপন করছে লগ্ন,পৃথিবী সূর্য তপস্যাতেই মগ্ন। আজকে সামনে নিরুচ্চারিত প্রশ্ন,মনের কোমল মহল ঘিরে কবোষ্ণক্রমশ পুষ্ট মিলিত উন্মাদনা,ক্রমশ সফল স্বপ্নের দিন গোনা। স্বপ্নের বীজ বপন করেছি সদ্য,বিদ্যুৎবেগে ফসল সংঘবদ্ধ!হে সাথী, ফসলে শুনেছো প্রাণের গান?দুরন্ত হাওয়া ছড়ায় ঐকতান। বন্ধু, আজকে দোদুল্যমান পৃথ্বীআমরা গঠন করব নতুন ভিত্তি;তারই সুত্রপাতকে করেছি সাধনহে সাথী, আজকে রক্তিম অভিবাদন।।"
8,অলক্ষ্যে,সুকান্ত ভট্টাচার্য,"আমার মৃত্যুর পর কেটে গেল বৎসর বৎসর;ক্ষয়িষ্ণু স্মৃতির ব্যর্থ প্রচেষ্টাও আজ অগভীর,এখন পৃথিবী নয় অতিক্রান্ত প্রায়ান্ধ স্থবির;নিভেছে প্রদূম্রজ্বালা, নিরঙ্কুশ সূর্য অনশ্বর ;স্তব্ধতা নেমেছে রাত্রে থেমেছে নির্ভীক তীক্ষ্ণস্বর অথবা নিরন্ন দিন, পৃথিবীতে দুর্ভিক্ষ ঘোষণা ;উদ্ধত বজ্রের ভয়ে নিঃশব্দে মৃত্যুর আনাগোনা,অনন্য মানবসত্তা ক্রমান্বয়ে স্বল্পপরিসর। গলিত স্মৃতির বাস্প সেদিনের পল্লব শাখায়বারম্বার প্রতারিত অস্ফুট কুয়াশা রচনায়;বিলুপ্ত বজ্রের ঢেউ নিশ্চিত মৃত্যুতে প্রতিহত।আমার অজ্ঞাত দিন নগণ্য উদার উপেক্ষাতেঅগ্রগামী শূন্যতাকে লাঞ্চিত করেছে অবিরততথাপি তা প্রস্ফুটিত মৃত্যুর অদৃশ্য দুই হাতে।।"
9,অসহ্য দিন,সুকান্ত ভট্টাচার্য,"অসহ্য দিন! স্নায়ু উদ্বেল। শ্লথ পায়ে ঘুরি ইতস্ততঅনেক দুঃখে রক্ত আমার অসংযত।মাঝে মাঝে যেন জ্বালা করে এক বিরাট ক্ষতহৃদয়গত।ব্যর্থতা বুকে, অক্ষম দেহ, বহু অভিযোগ আমার ঘাড়েদিন রাত শুধু চেতনা আমাকে নির্দয় হাতে চাবুক মারে।এখানে ওখানে, পথে চলতেও বিপদকে দেখি সমুদ্যত,মনে হয় যেন জীবনধারণ বুঝি খানিকটা অসঙ্গত।।"
