রুণু : 1
মধু বোলে : 1
বাজায়ে কিঙ্কিণী : 1
বসাইও ফুলাসনে : 1
তুমি নব : 1
জলধর এ : 1
তব অধীনী : 1
৭ অরে : 1
হবি ফলবতী : 1
পাইব তারে : 1
সদা প্রাণ : 1
চাহে যারে : 1
পতি হারা : 1
রতি কি : 1
লো পাবে : 1
রতি পতি : 1
হে কামিনী : 1
আশা মহামায়াবিনী : 1
মরীচিকা কার : 1
তৃষা কবে : 1
তোষে সতি : 1
হেরি প্রাতে : 1
ওই গিরি : 1
শিরেকি হেতু : 1
মোরে সুচারু : 1
হাসিনি নিত্য : 1
অবগাহি দেহ : 1
দেও দেখা : 1
হৈমবতি থাকিতে : 1
যামিনী বহে : 1
কলকল রবে : 1
স্বচ্ছ প্রবাহিণীগিরি : 1
দর্পণে নিরখিতে : 1
ধীরেও মুখের : 1
আভা কি : 1
লো আইস : 1
কামিনি কুসুম : 1
শয়ন থুয়ে : 1
কিম্বা দেহ : 1
কারাগার তেয়াগি : 1
ভূতলে স্নেহ : 1
কারী জন : 1
দেব পুরে : 1
আইস এ : 1
ছলেহৃদয় আঁধার : 1
তার খেদাইতে : 1
দূরে সত্য : 1
যদি নিত্য : 1
তবে শোভ : 1
নভস্তলে জুড়াও : 1
এ আঁখি : 1
দুটি নিত্য : 1
নিত্য ঊরে : 1
মহানন্দে সুন্দ : 1
উপসুন্দাসুর বলীঅমরারি : 1
তুষি যত : 1
দৈত্যকুলেশ্বরেমধুর সম্ভাষে : 1
এবে সিংহাসন : 1
ত্যজি উঠিলা : 1
কুসুমবনে ভ্রমণ : 1
প্রয়াসে একপ্রাণ : 1
বাগর্থ যেমতি : 1
হে দানব : 1
আরম্ভিলা নিকুম্ভ : 1
কুমারসুন্দ বীরদলশ্রেষ্ঠ : 1
অমরমর্দ্দন যার : 1
বাহু পরাক্রমে : 1
লভিয়াছি আমিত্রিদিব : 1
বিভব শুন : 1
হে সুরারি : 1
রথী ব্যূহ : 1
ইচ্ছা সেই : 1
তাহা কর : 1
চিরবাদী রিপু : 1
এবে জিনিয়া : 1
বিবাদেঘোরতর পরিশ্রমে : 1
আরাম সাধনেমন : 1
রত কর : 1
সবে উল্লাসে : 1
দনুজ শুনি : 1
দনুজেন্দ্র বাণী : 1
অমনি নাদিল : 1
রবে ভীত : 1
পলাইলা রড়ে : 1
মূর্ছা পায়েখেচর : 1
ভূচর সহ : 1
পড়িল ভূতলে : 1
থরথরি গিরিবর : 1
বিন্ধ্য মহামতিকাঁপিলা : 1
কাঁপিলা ভয়ে : 1
বসুধা সুন্দরী : 1
দূর কাম্যবনে : 1
যথা বসেন : 1
বাসব শুনি : 1
ঘর্ঘর ত্রস্ত : 1
হয়ে সবে : 1
নীরবে এ : 1
ওঁর পানে : 1
দৈত্যদল চলিলা : 1
কৌতুকে যথা : 1
শিলীমুখ বৃন্দ : 1
ছাড়ি মধুমতী : 1
পুরী উড়ে : 1
আনন্দে গুঞ্জরিমধুকালে : 1
মধুতৃষা তুষিতে : 1
কুসুমে মধুকুঞ্জে : 1
বামাব্রজরঞ্জন দুজনভ্রমিলা : 1
অশ্বিনী পুত্র : 1
যুগ সম : 1
রূপেঅনুপম কিম্বা : 1
যথা পঞ্চবটি : 1
বনেরাম রামানুজ : 1
যবে মোহিনী : 1
রাক্ষসীসূর্পনখা হেরি : 1
দোঁহে মাতিল : 1
মদনে ভ্রমিতে : 1
ভ্রমিতে দৈত্য : 1
আসি উতরিলাযথায় : 1
ফুলের মাঝে : 1
বসে একাকিনীতিলোত্তমা : 1
সুন্দ পানে : 1
চাহিয়া সহসাকহে : 1
উপসুন্দাসুর কি : 1
অপূর্ব সৌরভেবনরাজী : 1
আবার আইল : 1
আইস দেখি : 1
কোন্ ফুল : 1
ফুটি আমোদিছেকানন : 1
উত্তরে হাসি : 1
রাজ সুখে : 1
সুখী প্রজা : 1
রথি সসাগরা : 1
বসুধারে দেবালয় : 1
সহভুজবলে জিনি : 1
সুখেকেন না : 1
সুখিনী হবে : 1
বনরাজী আজি : 1
এইরূপে দুইজন : 1
ভ্রমিলা কৌতুকে : 1
কালরূপিণী ভুজঙ্গিনী : 1
রূপেফুটিছে বনে : 1
যার পরিমলেমত্ত : 1
এবে দুই : 1
ভাই হায় : 1
রে যেমতিবকুলের : 1
বাসে অলি : 1
মত্ত মধুলোভে : 1
বিরাজিছে ফুলকুল : 1
মাঝে একাকিনীদেবদূতী : 1
ফুলকুল ইন্দ্রাণী : 1
যেমতিনলিনী কমল : 1
করে আদরে : 1
রূপসীধরে যে : 1
কুসুম তার : 1
কমনীয় শোভাবাড়ে : 1
শতগুণ যথা : 1
রবির কিরণেমণি : 1
আভা একাকিনী : 1
বসিয়া ভাবিনী : 1
উতরিলা দৈত্যদ্বয় : 1
তথা চমকিলা : 1
বিধুমুখী দেখিয়া : 1
সম্মুখেদৈত্যদ্বয়ে যথা : 1
যবে ভোজরাজবালাকুন্তী : 1
দুর্ব্বাসার মন্ত্র : 1
জপি সুবদনা : 1
হেরিলা নিকটে : 1
হৈম কিরীটী : 1
ভস্করে বীরকুল : 1
চূড়ামণি নিকুম্ভ : 1
নন্দনউভে ইন্দ্রসম : 1
রূপ অতুল : 1
ভূবনে হেরি : 1
বীরদ্বয়ে ধনী : 1
বিস্ময় মানিয়াএকদৃষ্টে : 1
দোঁহা পানে : 1
চাহে যথা : 1
